date,forecast,std_error,lower_95,upper_95,lower_80,upper_80,coefficient_of_variation,uncertainty_ratio_95,prob_exceed_historical_max
2026-01-22,880871.2007864285,2374843.3946154583,-3773736.321582713,5535478.72315557,-2162613.069506265,3924355.4710791223,269.60166168393675,10.568190941453366,0.5876644290288802
2026-01-23,885734.8842422927,2397335.725380117,-3812956.7963539427,5584426.564838528,-2186574.467754597,3958044.236239182,270.66064214360625,10.609702212679045,0.5861628572145404
2026-01-24,881204.4555869313,2419375.9563329583,-3860685.283887818,5623094.195061681,-2219350.5888925362,3981759.5000663986,274.5533049672926,10.76229179144671,0.5860359410268514
2026-01-25,885424.4637325216,2441441.5148844826,-3899712.975801975,5670561.9032670185,-2243408.731853268,4014257.659318311,275.7368488095015,10.80868585754378,0.5846801284304497
2026-01-26,881493.6063890838,2463102.3075163476,-3946098.206580458,5709085.419358626,-2275099.011905009,4038086.2246831767,279.4237291868859,10.9532089126434,0.5844978039066704
2026-01-27,885155.1252585688,2484765.4950809125,-3984895.7551278565,5755206.005644994,-2299199.9849735787,4069510.235490716,280.71525817071563,11.003835918509314,0.5832685899796102
2026-01-28,881744.4900560535,2506064.814290252,-4030052.2888758993,5793541.268988007,-2329906.7960538575,4093395.776165964,284.2166684966683,11.141088681188593,0.5830418466649652
2026-01-29,884921.4318933825,2527347.7536652605,-4068589.1416987367,5838432.005485501,-2354005.0384919615,4123847.902278726,285.60137234530913,11.195368074640394,0.5819228854922768
2026-01-30,881962.1709820051,2548302.2491146135,-4112618.459005054,5876542.800969064,-2383818.565851654,4147742.907815664,288.9355499541723,11.326065435269026,0.5816608866213471
2026-01-31,884718.6662500987,2569225.0680331364,-4150869.9352723192,5920307.267772516,-2407875.7419241993,4177313.074424397,290.4002329828598,11.383479954968918,0.5806382050408627
2026-02-01,882151.0433231004,2589850.2041844768,-4193862.082232179,5958164.16887838,-2436875.5403755186,4201177.62702172,293.58353354414237,11.50826304401052,0.5803485842346742
2026-02-02,884542.7352558086,2610431.276108588,-4231808.550033958,6000894.020545575,-2460859.5533877416,4229945.023899359,295.1164677593169,11.568352961058743,0.5794102136039014
2026-02-03,882314.9196989237,2630741.4455874264,-4273843.56628927,6038473.405687118,-2489115.8984367074,4253745.737834555,298.16354533425846,11.687796207158446,0.5790993225862944
2026-02-04,884390.0875278666,2650997.5952978902,-4311469.722358288,6080249.897414021,-2513000.0309811155,4281780.206036849,299.7543315651826,11.750153881552718,0.5782349910973107
2026-02-05,882457.108154879,2671006.218277867,-4352618.8821522705,6117533.098462028,-2540575.092458484,4305489.308768243,302.6783051090889,11.864771538308801,0.5779081068040234
2026-02-06,884257.6416848822,2690952.8981930674,-4389913.122867209,6158428.406236974,-2564337.2578012226,4332852.541170987,304.3177430805881,11.92903632588932,0.5771089817554902
2026-02-07,882580.4789391384,2710672.5099691395,-4430240.014483166,6195400.972361443,-2591286.1198905236,4356447.077768801,307.1303495435756,12.039288473292121,0.5767704797067986
2026-02-08,884142.7241452611,2730323.952001578,-4467193.887904899,6235479.336195422,-2614908.2109862817,4383193.659276804,308.810317320781,12.105142000062328,0.5760289511294391
2026-02-09,882687.5224421186,2749766.2805132023,-4506755.353266422,6272130.398150658,-2641279.7592313285,4406654.8041155655,311.5220517568283,12.211440036668124,0.5756824507207217
2026-02-10,884043.0151576856,2769135.627383781,-4543363.082821253,6311449.113136624,-2664747.0833213283,4432833.1136366995,313.23539464760705,12.278601843850005,0.5749919493365132
2026-02-11,882780.3994680617,2788311.662130856,-4582210.035981432,6347770.834917555,-2690584.7763620038,4456145.575298127,315.8556379152746,12.381313492557243,0.5746404357125059
2026-02-12,883956.5019740922,2807411.081354914,-4618468.107280186,6386381.11122837,-2713885.5644635567,4481798.568411741,317.5960666712983,12.449537046146526,0.5739952794774242
2026-02-13,882860.9848535159,2826331.1348974784,-4656646.247929759,6422368.21763679,-2739228.105821795,4504950.075528827,320.13320141974816,12.548990900764267,0.5736412058496572
2026-02-14,883881.4382198865,2845171.9180912534,-4692553.051063715,6460315.927503487,-2762353.0876534926,4530115.964093266,321.8951994083452,12.61805995273391,0.5730364703527149
2026-02-15,882930.9053132082,2863845.681123392,-4730103.486969221,6495965.297595637,-2787235.0108086173,4553096.821435034,324.35671510529806,12.714549595002065,0.5726818439598926
2026-02-16,883816.3086412327,2882438.3308244147,-4765659.0074323695,6533291.624714835,-2810177.046812561,4577809.664095026,326.1354540125919,12.784274878925983,0.57211325277927
2026-02-17,882991.5722772742,2900874.921651818,-4802618.79781574,6568601.942370288,-2834629.225014683,4600612.369569232,328.52804179889665,12.878062596746137,0.5717597071489143
2026-02-18,883759.7985177978,2919229.227478124,-4837824.3499560105,6605343.946991607,-2857382.9881403465,4624902.585175943,330.31930535583587,12.948278837914538,0.5712235389392002
