district,enrol_mean,enrol_std,enrol_max,child_mean,adult_mean,cis_mean,momentum,state,enrol_volatility,child_adult_ratio,zero_cis_flag,anomaly_label,anomaly_score,fraud_risk_score,is_anomaly
Mysuru,484.55555555555554,400.51158257630675,1080.0,457.0,27.555555555555557,0.4298888888888889,0.2523333333333333,Karnataka,0.8248522295621878,16.003891050583658,0,1,-0.39529703094015334,10.01410820576433,0
N. T. R,103.66666666666667,127.80747239500515,295.0,98.55555555555556,5.111111111111111,0.12466666666666668,0.29644444444444445,Andhra Pradesh,1.2210905005892212,16.12727272727273,0,1,-0.390583437497955,8.670038282460894,0
Nabarangapur,479.38461538461536,878.5949520362552,3026.0,474.38461538461536,5.0,0.3493076923076923,0.000153846153846154,Odisha,1.828940652757617,79.06410256410255,0,1,-0.4797530473353115,34.096539766898715,0
Nabarangpur,442.0,,442.0,430.0,12.0,0.998,0.0,Odisha,,33.07692307692308,0,-1,-0.5552080233720301,55.61234614650778,1
Nadia,1042.1176470588234,1607.3884830040677,5134.0,992.5294117647059,49.588235294117645,0.5197647058823529,0.1274705882352941,West Bengal,1.5409464958590848,19.619767441860464,0,1,-0.4984535563496462,39.4289452925033,0
Nagaon,1430.3333333333333,1381.70718678018,4246.0,1386.6666666666667,43.666666666666664,0.5901111111111111,0.3482222222222222,Assam,0.9653287285376201,31.04477611940299,0,1,-0.43963655053933853,22.657416424386042,0
Nagapattinam,449.6666666666667,588.2629089106332,1517.0,449.6666666666667,0.0,0.22744444444444442,0.26855555555555555,Tamil Nadu,1.3053171055709316,449.6666666666667,0,1,-0.48305872512350484,35.03914590078088,0
Nagarkurnool,151.22222222222223,208.0515427591068,578.0,151.0,0.2222222222222222,0.17866666666666667,0.2541111111111111,Telangana,1.3667619597313585,123.54545454545453,0,1,-0.38260496392254983,6.39499557925059,0
Nagaur,1918.5555555555557,1951.0124366025393,6227.0,1895.4444444444443,23.11111111111111,0.5678888888888889,0.46044444444444443,Rajasthan,1.0163875856345712,78.61290322580645,0,1,-0.525821906999971,47.23296517894635,0
Nagpur,1314.2222222222222,1253.181129942693,3561.0,1288.3333333333333,25.88888888888889,0.41055555555555556,0.3898888888888889,Maharashtra,0.9528284336811892,47.913223140495866,0,1,-0.44143492558322844,23.17021877718817,0
Naihati Anandabazar,0.0,,0.0,0.0,0.0,0.0,0.0,West Bengal,,0.0,1,1,-0.49276294845301244,37.80628202869596,0
Nainital,439.0,429.667022239315,1029.0,430.55555555555554,8.444444444444445,0.295,0.05322222222222222,Uttarakhand,0.9765159596348068,45.588235294117645,0,1,-0.4103664905937392,14.3111286699164,0
Najafgarh,4.285714285714286,5.794085654478071,14.0,4.285714285714286,0.0,0.406,0.3061428571428571,Delhi,1.0961783670634189,4.285714285714286,0,1,-0.3935075281833553,9.503835764456994,0
Nalanda,1619.4444444444443,1344.2116752125678,3687.0,1604.3333333333333,15.11111111111111,0.46111111111111114,0.3938888888888889,Bihar,0.8295327123500488,99.57931034482759,0,1,-0.48347756059397534,35.15857583583474,0
Nalbari,431.22222222222223,476.8681101147826,1366.0,409.55555555555554,21.666666666666668,0.518,0.149,Assam,1.10329382802906,18.06862745098039,0,1,-0.3978795610327291,10.75051049968772,0
Nalgonda,434.8888888888889,754.7138833701379,2511.0,434.3333333333333,0.5555555555555556,0.20127777777777778,0.23205555555555554,Andhra Pradesh,1.731436388052827,279.2142857142857,0,1,-0.4700828899818636,31.33911747077488,0
Namakkal,487.3,708.7474162210399,1991.0,486.4,0.9,0.1976,0.2355,Tamil Nadu,1.4514589723961497,256.0,0,1,-0.4299288860292645,19.889299052043185,0
Namchi,6.0,3.366501646120693,11.0,2.5,3.5,0.4535,-0.13625,Sikkim,0.48092880658867043,0.5555555555555556,0,1,-0.47720982820476704,33.371346900001726,0
Namsai,16.666666666666668,22.152877916875724,61.0,16.555555555555557,0.1111111111111111,0.208,0.27322222222222226,Arunachal Pradesh,1.25393648586089,14.9,0,1,-0.3773039159422457,4.883414396085968,0
Nanded,1327.4444444444443,1095.9022665264351,3707.0,1290.111111111111,37.333333333333336,0.6864444444444444,0.3701111111111111,Maharashtra,0.824951522142683,33.655072463768114,0,1,-0.46453585320275514,29.757393168565983,0
Nandurbar,819.6923076923077,1111.9433727049973,3100.0,801.3846153846154,18.307692307692307,0.7036153846153846,0.08484615384615386,Maharashtra,1.354884604476986,41.505976095617534,0,1,-0.46494724545097416,29.87470068655452,0
Nandyal,100.55555555555556,121.57827839617477,278.0,99.88888888888889,0.6666666666666666,0.1628888888888889,0.3125555555555556,Andhra Pradesh,1.197160290553143,59.93333333333334,0,1,-0.3802575129393654,5.725625532466125,0
Narayanpet,145.55555555555554,194.74220851622738,517.0,145.11111111111111,0.4444444444444444,0.17099999999999999,0.25677777777777777,Telangana,1.3287944477983673,100.46153846153847,0,1,-0.3824526144290183,6.351553484679371,0
Narayanpur,84.66666666666667,104.8343932113884,242.0,83.77777777777777,0.8888888888888888,0.23744444444444446,0.29933333333333334,Chhattisgarh,1.2237477806776855,44.35294117647059,0,1,-0.36279449770171396,0.7460884045949285,0
Narmada,142.22222222222223,189.68577818182482,506.0,139.0,3.2222222222222223,0.23666666666666666,0.28244444444444444,Gujarat,1.324415829042997,32.921052631578945,0,1,-0.3683368615141947,2.326480221519745,0
Narmadapuram,81.88888888888889,105.08977643477557,273.0,78.66666666666667,3.2222222222222223,0.33155555555555555,0.28688888888888886,Madhya Pradesh,1.2678391258887134,18.63157894736842,0,1,-0.3662626415521951,1.735021348490804,0
Narsimhapur,132.11111111111111,179.72788072836977,486.0,132.11111111111111,0.0,0.3562222222222222,0.2711111111111111,Madhya Pradesh,1.350209454553696,132.11111111111111,0,1,-0.38633543276074284,7.458729867479207,0
Narsinghpur,574.8888888888889,688.9155326388795,1997.0,564.6666666666666,10.222222222222221,0.3604444444444444,0.3838888888888889,Madhya Pradesh,1.196264671763441,50.31683168316832,0,1,-0.40639508165577304,13.178690887125939,0
Nashik,2485.3333333333335,2601.9373551259837,7066.0,2451.5555555555557,33.77777777777778,0.40455555555555556,0.2704444444444445,Maharashtra,1.0464957856787707,70.49201277955272,0,1,-0.5127291919753213,43.499608729178505,0
Navsari,306.3333333333333,294.80205223166274,801.0,294.8888888888889,11.444444444444445,0.5431111111111111,0.31922222222222224,Gujarat,0.9592257664804645,23.696428571428573,0,1,-0.40327686417638303,12.289538613014557,0
Nawada,1712.5555555555557,1778.324711006901,4456.0,1680.2222222222222,32.333333333333336,0.4081111111111111,0.22866666666666666,Bihar,1.0377981065401445,50.40666666666666,0,1,-0.4445283711043516,24.0523073865062,0
Nawanshahr,38.4,24.855582873873626,61.0,38.4,0.0,0.689,0.1016,Punjab,0.6308523572049144,38.4,0,1,-0.46025345227343106,28.536276761473673,0
