state,district,month,enrol_total,cis,anomaly_score,anomaly_type
West Bengal,North 24 Parganas,2025-11,6333.0,0.681,-0.064129994339749,Policy Event (High Enrollment Spike)
West Bengal,North 24 Parganas,2025-12,4796.0,0.531,-0.0305553612790805,Policy Event (High Enrollment Spike)
Delhi,North Delhi,2025-03,0.0,0.0,-0.0226199047399253,Data Quality (High Lag + Low Count)
Delhi,North Delhi,2025-04,0.0,0.0,-0.0492127042474906,Data Quality (High Lag + Low Count)
Delhi,North Delhi,2025-05,0.0,0.0,-0.0264044076060806,Data Quality (High Lag + Low Count)
Delhi,North East,2025-04,0.0,0.0,-0.0044051668721589,Data Quality (High Lag + Low Count)
Delhi,North East Delhi,2025-03,0.0,0.0,-0.0426935780509346,Data Quality (High Lag + Low Count)
Delhi,North East Delhi,2025-04,0.0,0.0,-0.1260205834282867,Data Quality (High Lag + Low Count)
Delhi,North East Delhi,2025-05,0.0,0.0,-0.0648828867925271,Data Quality (High Lag + Low Count)
Delhi,North East Delhi,2025-06,1577.0,0.342,-0.0301772348229825,Unclear (Needs Investigation)
Delhi,North East Delhi,2025-07,4482.0,0.542,-0.0719482257857569,Policy Event (High Enrollment Spike)
Delhi,North West Delhi,2025-03,60.0,0.008,-0.1302579759883955,Unclear (Needs Investigation)
Delhi,North West Delhi,2025-04,1306.0,0.118,-0.1575101367435919,Unclear (Needs Investigation)
Delhi,North West Delhi,2025-05,644.0,0.106,-0.1171610688052803,Unclear (Needs Investigation)
Delhi,North West Delhi,2025-06,798.0,0.296,-0.0435251385750796,Unclear (Needs Investigation)
Delhi,North West Delhi,2025-07,1171.0,0.133,-0.1123221977463817,Unclear (Needs Investigation)
Delhi,North West Delhi,2025-12,2568.0,0.44,-0.0140817259313432,Unclear (Needs Investigation)
Jharkhand,Pakur,2025-03,0.0,0.0,-0.0525919363448772,Data Quality (High Lag + Low Count)
Jharkhand,Palamu,2025-03,0.0,0.0,-0.1547552022273107,Data Quality (High Lag + Low Count)
Haryana,Palwal,2025-07,0.0,0.0,-0.0084731978679727,Data Quality (High Lag + Low Count)
Maharashtra,Parbhani,2025-07,0.0,0.0,-0.0027575025490326,Data Quality (High Lag + Low Count)
